Num,ClusterLabelK11_Takahashietal2019,Code,Lon,Lat,Ve_wrt_S01R,Vn_wrt_S01R,sVe,sVn
51,6,JLUT,120.62278,22.32996,-53.67906318,1.499391999,0.4,0.4
42,6,GS45,120.728,22.7525,-57.23638984,2.699199626,0.7,0.6
61,6,SAND,120.64064,22.71727,-57.8956789,0.707364348,0.4,0.4
43,6,GS46,120.6395,22.5297,-57.08295507,1.395077373,0.6,0.6
40,6,CLON,120.5796,22.43005,-55.99923237,-0.293213975,0.3,0.3
60,6,S23R,120.60617,22.64498,-55.29924196,0.2895488,0.4,0.3
47,6,GS55,120.60224,22.85069,-56.09581324,0.685373747,0.8,0.8
52,6,KASU,120.63298,22.81019,-57.98268641,-1.417066333,0.8,0.8
57,6,NJOU,120.57141,22.50389,-57.19294338,-0.89845855,0.4,0.4
48,6,GS56,120.60173,22.70388,-57.29572368,-0.700034148,0.8,0.6
46,6,GS54,120.45209,22.8371,-53.61131583,-4.501867971,0.9,0.7
62,6,WDAN,120.50431,22.60606,-52.43732221,-2.564612914,0.6,0.3
56,6,MLO1,120.554,22.9,-50.7567233,-3.816417195,0.7,0.4
50,6,HENC,120.74645,22.00393,-51.67984295,1.443548722,0.7,0.4
45,6,GS52,120.65472,23.03402,-50.09511645,0.699505235,0.7,0.6
54,6,LGUE,120.63538,22.9929,-50.49807711,-0.440690043,0.7,0.4
49,6,GS59,120.70439,22.0574,-49.29812281,-0.4302182,0.9,0.7
59,6,S169,120.50331,22.94229,-46.49745038,-0.486937961,0.4,0.3
44,6,GS51,120.54006,23.00022,-47.61603979,-2.82891402,0.7,0.6
199,7,ZEND,120.21756,22.94327,-13.40503436,-1.598453572,0.4,0.4
120,7,GS44,120.4004,23.2222,-15.27903188,0.800740131,0.3,0.3
160,7,S106,120.33409,23.05079,-16.71436809,-2.497979048,0.3,0.5
111,7,GS31,120.27588,23.01875,-15.84653445,-1.302822287,0.5,0.2
89,7,GS06,120.55422,23.46561,-15.20017301,3.509236448,0.3,0.3
64,7,8118,120.55298,23.46298,-15.12899812,4.195642504,0.4,0.5
131,7,JONP,120.524,23.42297,-13.7182377,4.696802564,0.3,0.3
184,7,W021,120.54951,23.53568,-12.4819572,4.592466047,1.1,0.9
164,7,SCHN,121.65159,24.12779,-13.04029499,4.515607006,0.8,0.6
88,7,GS05,120.5684,23.56711,-13.14731953,4.811235724,0.3,0.2
167,7,SJPU,120.48126,23.42854,-11.71558297,3.403691494,0.3,0.3
156,7,S016,120.80286,24.17955,-12.54521443,3.408459322,0.3,0.3
154,7,RENI,120.50857,23.45894,-12.82861367,3.509511565,0.3,0.3
147,7,PEI1,120.169,23.294,-5.512991243,-1.801923292,1.1,0.7
140,7,NANK,120.27439,23.10199,-5.869796182,-0.596232153,0.3,0.2
108,7,GS28,120.21358,23.07986,-5.4,-9.92E-16,0.5,0.3
190,7,WUST,120.36817,23.20524,-11.0350757,1.198792848,0.5,0.3
109,7,GS29,120.31755,23.07537,-10.06886507,-0.792436867,0.4,0.3
112,7,GS33,120.18695,22.96369,-10.69802812,-0.205412634,0.3,0.2
110,7,GS30,120.22612,23.02032,-11.4,-2.10E-15,0.3,0.3
